Product,Year,Quarter,Value,ProcessedTimestamp,filename
Crude Oil & NGLs,2019,3rd quarter,10368.97,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2019,4th quarter,10150.53,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2020,1st quarter,10030.98,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2020,2nd quarter,9462.24,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2020,3rd quarter,9408.09,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2020,4th quarter,9386.53,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2021,1st quarter,8938.88,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2021,2nd quarter,7007.27,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2021,3rd quarter,8095.42,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2021,4th quarter,8643.65,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2022,1st quarter,8147.79,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2022,2nd quarter,6945.2,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2022,3nd quarter,6205.05,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2022,4th quarter,7305.85,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2023,1st quarter,6973.89,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2023,2nd quarter,5990.45,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2023,3nd quarter,6127.05,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2023,4th quarter,6348.71,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil,1999,1st quarter,32030.9,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil,1999,2nd quarter,31037.14,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude oil,1999,3rd quarter,32261.61,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
